Unnamed: 0,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,team,total,home,index_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,team_opp,total_opp,home_opp,season,date,won,id
0.0,240.0,37.0,96.0,0.385,12.0,29.0,0.414,20.0,26.0,0.769,23.0,36.0,59.0,23.0,5.0,3.0,15.0,15.0,106.0,,,0.493,0.448,0.302,0.271,41.1,83.7,59.6,62.2,5.2,5.5,12.3,100.0,111.2,98.6,DET,106,0,1,240.0,37.0,82.0,0.451,8.0,27.0,0.296,12.0,15.0,0.8,7.0,33.0,40.0,22.0,9.0,4.0,15.0,25.0,94.0,,,0.53,0.5,0.329,0.183,16.3,58.9,40.4,59.5,9.4,6.0,14.5,100.0,98.6,111.2,ATL,94,1,2016,2015-10-27,True,201510270ATL
1.0,240.0,37.0,82.0,0.451,8.0,27.0,0.296,12.0,15.0,0.8,7.0,33.0,40.0,22.0,9.0,4.0,15.0,25.0,94.0,,,0.53,0.5,0.329,0.183,16.3,58.9,40.4,59.5,9.4,6.0,14.5,100.0,98.6,111.2,ATL,94,1,0,240.0,37.0,96.0,0.385,12.0,29.0,0.414,20.0,26.0,0.769,23.0,36.0,59.0,23.0,5.0,3.0,15.0,15.0,106.0,,,0.493,0.448,0.302,0.271,41.1,83.7,59.6,62.2,5.2,5.5,12.3,100.0,111.2,98.6,DET,106,0,2016,2015-10-27,False,201510270ATL
2.0,240.0,38.0,94.0,0.404,9.0,29.0,0.31,10.0,17.0,0.588,11.0,39.0,50.0,26.0,5.0,7.0,11.0,21.0,95.0,,,0.468,0.452,0.309,0.181,21.6,84.8,51.5,68.4,5.0,10.3,9.8,100.0,95.0,97.0,CLE,95,0,1,240.0,37.0,87.0,0.425,7.0,19.0,0.368,16.0,23.0,0.696,7.0,40.0,47.0,13.0,6.0,10.0,13.0,22.0,97.0,,,0.499,0.466,0.218,0.264,15.2,78.4,48.5,35.1,6.0,15.4,11.8,100.0,97.0,95.0,CHI,97,1,2016,2015-10-27,False,201510270CHI
3.0,240.0,37.0,87.0,0.425,7.0,19.0,0.368,16.0,23.0,0.696,7.0,40.0,47.0,13.0,6.0,10.0,13.0,22.0,97.0,,,0.499,0.466,0.218,0.264,15.2,78.4,48.5,35.1,6.0,15.4,11.8,100.0,97.0,95.0,CHI,97,1,0,240.0,38.0,94.0,0.404,9.0,29.0,0.31,10.0,17.0,0.588,11.0,39.0,50.0,26.0,5.0,7.0,11.0,21.0,95.0,,,0.468,0.452,0.309,0.181,21.6,84.8,51.5,68.4,5.0,10.3,9.8,100.0,95.0,97.0,CLE,95,0,2016,2015-10-27,True,201510270CHI
4.0,240.0,35.0,83.0,0.422,6.0,18.0,0.333,19.0,27.0,0.704,8.0,25.0,33.0,21.0,9.0,3.0,19.0,26.0,95.0,,,0.501,0.458,0.217,0.325,18.6,54.3,37.1,60.0,8.9,4.5,16.7,100.0,94.4,110.3,NOP,95,0,1,240.0,41.0,96.0,0.427,9.0,30.0,0.3,20.0,22.0,0.909,21.0,35.0,56.0,29.0,8.0,7.0,20.0,29.0,111.0,,,0.525,0.474,0.313,0.229,45.7,81.4,62.9,70.7,8.0,10.8,15.9,100.0,110.3,94.4,GSW,111,1,2016,2015-10-27,False,201510270GSW
5.0,240.0,41.0,96.0,0.427,9.0,30.0,0.3,20.0,22.0,0.909,21.0,35.0,56.0,29.0,8.0,7.0,20.0,29.0,111.0,,,0.525,0.474,0.313,0.229,45.7,81.4,62.9,70.7,8.0,10.8,15.9,100.0,110.3,94.4,GSW,111,1,0,240.0,35.0,83.0,0.422,6.0,18.0,0.333,19.0,27.0,0.704,8.0,25.0,33.0,21.0,9.0,3.0,19.0,26.0,95.0,,,0.501,0.458,0.217,0.325,18.6,54.3,37.1,60.0,8.9,4.5,16.7,100.0,94.4,110.3,NOP,95,0,2016,2015-10-27,True,201510270GSW
6.0,240.0,34.0,83.0,0.41,7.0,22.0,0.318,20.0,23.0,0.87,14.0,32.0,46.0,12.0,11.0,6.0,24.0,22.0,95.0,,,0.51,0.452,0.265,0.277,31.1,76.2,52.9,35.3,10.9,9.8,20.5,100.0,94.5,111.5,PHI,95,0,1,240.0,39.0,85.0,0.459,8.0,24.0,0.333,26.0,27.0,0.963,10.0,31.0,41.0,31.0,10.0,7.0,17.0,23.0,112.0,,,0.578,0.506,0.282,0.318,23.8,68.9,47.1,79.5,10.0,11.5,14.9,100.0,111.5,94.5,BOS,112,1,2016,2015-10-28,False,201510280BOS
7.0,240.0,39.0,85.0,0.459,8.0,24.0,0.333,26.0,27.0,0.963,10.0,31.0,41.0,31.0,10.0,7.0,17.0,23.0,112.0,,,0.578,0.506,0.282,0.318,23.8,68.9,47.1,79.5,10.0,11.5,14.9,100.0,111.5,94.5,BOS,112,1,0,240.0,34.0,83.0,0.41,7.0,22.0,0.318,20.0,23.0,0.87,14.0,32.0,46.0,12.0,11.0,6.0,24.0,22.0,95.0,,,0.51,0.452,0.265,0.277,31.1,76.2,52.9,35.3,10.9,9.8,20.5,100.0,94.5,111.5,PHI,95,0,2016,2015-10-28,True,201510280BOS
8.0,240.0,42.0,78.0,0.538,14.0,28.0,0.5,17.0,20.0,0.85,5.0,34.0,39.0,20.0,9.0,3.0,20.0,24.0,115.0,,,0.662,0.628,0.359,0.256,14.7,68.0,46.4,47.6,9.0,3.6,18.7,100.0,115.6,100.5,CHI,115,0,1,240.0,39.0,93.0,0.419,0.0,9.0,0.0,22.0,28.0,0.786,16.0,29.0,45.0,19.0,11.0,5.0,13.0,18.0,100.0,,,0.475,0.419,0.097,0.301,32.0,85.3,53.6,48.7,11.1,10.0,11.0,100.0,100.5,115.6,BRK,100,1,2016,2015-10-28,True,201510280BRK
9.0,240.0,39.0,93.0,0.419,0.0,9.0,0.0,22.0,28.0,0.786,16.0,29.0,45.0,19.0,11.0,5.0,13.0,18.0,100.0,,,0.475,0.419,0.097,0.301,32.0,85.3,53.6,48.7,11.1,10.0,11.0,100.0,100.5,115.6,BRK,100,1,0,240.0,42.0,78.0,0.538,14.0,28.0,0.5,17.0,20.0,0.85,5.0,34.0,39.0,20.0,9.0,3.0,20.0,24.0,115.0,,,0.662,0.628,0.359,0.256,14.7,68.0,46.4,47.6,9.0,3.6,18.7,100.0,115.6,100.5,CHI,115,0,2016,2015-10-28,False,201510280BRK
