mp,pts,team,pts_opp,team_opp,season,date,won,id,target,fg_roll10,fga_roll10,fg%_roll10,3p_roll10,3pa_roll10,3p%_roll10,ft_roll10,fta_roll10,ft%_roll10,orb_roll10,drb_roll10,trb_roll10,ast_roll10,stl_roll10,blk_roll10,tov_roll10,pf_roll10,ts%_roll10,efg%_roll10,3par_roll10,ftr_roll10,orb%_roll10,drb%_roll10,trb%_roll10,ast%_roll10,stl%_roll10,blk%_roll10,tov%_roll10,usg%_roll10,ortg_roll10,drtg_roll10,won_roll10,pts_roll10,fg_opp_roll10,fga_opp_roll10,fg%_opp_roll10,3p_opp_roll10,3pa_opp_roll10,3p%_opp_roll10,ft_opp_roll10,fta_opp_roll10,ft%_opp_roll10,orb_opp_roll10,drb_opp_roll10,trb_opp_roll10,ast_opp_roll10,stl_opp_roll10,blk_opp_roll10,tov_opp_roll10,pf_opp_roll10,ts%_opp_roll10,efg%_opp_roll10,3par_opp_roll10,ftr_opp_roll10,orb%_opp_roll10,drb%_opp_roll10,trb%_opp_roll10,ast%_opp_roll10,stl%_opp_roll10,blk%_opp_roll10,tov%_opp_roll10,usg%_opp_roll10,ortg_opp_roll10,drtg_opp_roll10,pts_opp_roll10,fg_roll10_opp_history,fga_roll10_opp_history,fg%_roll10_opp_history,3p_roll10_opp_history,3pa_roll10_opp_history,3p%_roll10_opp_history,ft_roll10_opp_history,fta_roll10_opp_history,ft%_roll10_opp_history,orb_roll10_opp_history,drb_roll10_opp_history,trb_roll10_opp_history,ast_roll10_opp_history,stl_roll10_opp_history,blk_roll10_opp_history,tov_roll10_opp_history,pf_roll10_opp_history,ts%_roll10_opp_history,efg%_roll10_opp_history,3par_roll10_opp_history,ftr_roll10_opp_history,orb%_roll10_opp_history,drb%_roll10_opp_history,trb%_roll10_opp_history,ast%_roll10_opp_history,stl%_roll10_opp_history,blk%_roll10_opp_history,tov%_roll10_opp_history,usg%_roll10_opp_history,ortg_roll10_opp_history,drtg_roll10_opp_history,won_roll10_opp_history,pts_roll10_opp_history,home_elo,away_elo
240.0,107.0,SAC,101.0,TOR,2016,2015-11-15,True,201511150SAC,1,39.4,88.6,0.4443,8.3,21.7,0.3847,16.4,23.9,0.6801,12.2,32.6,44.8,23.4,9.1,3.3,16.8,21.5,0.5223,0.49160000000000004,0.2455,0.2743,26.0,76.42,50.18,59.96,9.040000000000001,5.720000000000001,14.63,100.0,102.13,107.38,0.3,103.5,40.7,85.0,0.4807,8.4,26.4,0.3179,18.8,25.2,0.7516,10.1,34.0,44.1,23.9,8.7,5.8,17.5,21.1,0.5660999999999999,0.53,0.3085,0.30169999999999997,23.580000000000002,74.0,49.82,58.470000000000006,8.65,8.59,15.37,100.0,107.38,102.13,108.6,35.5,82.0,0.43220000000000003,6.5,19.8,0.32199999999999995,24.6,30.7,0.7987,12.4,35.2,47.6,19.0,8.8,4.5,15.2,21.1,0.5336000000000001,0.4716,0.24159999999999998,0.3758,28.860000000000003,77.96000000000001,54.120000000000005,53.410000000000004,9.24,7.529999999999999,13.719999999999999,100.0,107.19000000000001,100.96000000000001,0.7,102.1,1500.0,1500.0
240.0,122.0,MEM,114.0,OKC,2016,2015-11-16,True,201511160MEM,1,34.3,81.6,0.42519999999999997,5.5,18.0,0.3061,21.0,25.6,0.8177999999999999,10.4,30.4,40.8,21.1,8.5,4.1,13.7,22.5,0.5168,0.4593,0.221,0.32110000000000005,23.689999999999998,76.38,49.059999999999995,62.169999999999995,9.059999999999999,7.4799999999999995,12.87,100.0,102.06,107.59,0.5,95.1,36.0,77.0,0.4654,8.9,22.9,0.37120000000000003,19.7,26.0,0.7574,9.3,33.6,42.9,21.3,6.8,6.2,16.5,21.5,0.5684,0.5227,0.2981,0.34340000000000004,23.619999999999997,76.30999999999999,50.940000000000005,58.589999999999996,7.210000000000001,9.41,15.709999999999999,100.0,107.59,102.06,100.6,41.4,88.6,0.46690000000000004,8.4,22.3,0.37639999999999996,19.3,24.3,0.7985,13.3,35.8,49.1,22.7,7.8,7.9,17.1,22.7,0.5564,0.5149,0.2529,0.273,30.47,76.71000000000001,54.39,55.370000000000005,7.74,11.76,14.669999999999998,100.0,109.32000000000001,103.17,0.6,110.5,1500.0,1500.0
240.0,86.0,PHI,92.0,DAL,2016,2015-11-16,False,201511160PHI,0,34.0,82.6,0.4109,7.7,23.8,0.3264,15.4,21.8,0.7155,10.4,31.8,42.2,19.7,6.7,6.5,17.1,19.8,0.4962,0.458,0.2884,0.272,22.3,73.22,46.92,58.56,6.890000000000001,9.67,15.669999999999998,100.0,94.76,108.79,0.0,91.1,39.2,87.8,0.44749999999999995,7.5,20.5,0.3741,18.7,22.5,0.8150999999999999,11.7,36.3,48.0,24.8,8.2,7.3,13.0,19.1,0.5363,0.4901,0.23289999999999997,0.257,26.78,77.7,53.089999999999996,63.4,8.559999999999999,12.34,11.73,100.0,108.79,94.76,104.6,37.4,85.6,0.43870000000000003,8.0,25.6,0.3182,18.9,24.2,0.7822,8.7,37.6,46.3,21.7,6.1,3.4,12.5,21.0,0.5301,0.4859,0.2995,0.2866,18.85,78.65,49.480000000000004,58.17999999999999,6.220000000000001,5.99,11.5,100.0,103.59,102.65,0.6,101.7,1500.0,1500.0
240.0,90.0,BRK,88.0,ATL,2016,2015-11-17,True,201511170BRK,1,37.9,87.1,0.43570000000000003,4.3,16.2,0.2552,14.6,18.9,0.7684,12.1,32.9,45.0,21.2,7.3,5.0,15.0,19.6,0.4963,0.4606,0.1871,0.2178,26.139999999999997,77.92999999999999,50.9,55.95,7.55,8.53,13.66,100.0,98.66,107.99000000000001,0.1,94.7,38.6,84.2,0.4608,9.5,25.6,0.3754,16.9,21.5,0.7885,9.6,33.7,43.3,24.2,9.0,6.0,14.5,18.6,0.5558,0.5173,0.3031,0.26389999999999997,22.07,73.86,49.1,62.73,9.370000000000001,8.53,13.419999999999998,100.0,107.99000000000001,98.66,103.6,39.0,83.0,0.47120000000000006,8.9,24.8,0.3577,15.8,19.2,0.8305,8.0,31.7,39.7,27.2,10.0,5.1,14.8,16.5,0.5624,0.5246000000000001,0.2975,0.23559999999999998,19.17,74.99,47.64,69.58000000000001,10.4,8.959999999999999,13.959999999999999,100.0,106.55,103.46,0.7,102.7,1500.0,1500.0
240.0,104.0,DET,99.0,CLE,2016,2015-11-17,True,201511170DET,1,36.5,87.4,0.4203,7.8,25.5,0.3069,15.8,24.8,0.6373,14.3,33.7,48.0,16.4,7.9,3.2,15.3,19.4,0.49349999999999994,0.4652,0.2924,0.2942,28.72,79.53,52.55,45.44,8.120000000000001,5.37,13.51,100.0,100.07000000000001,100.77000000000001,0.5,96.6,37.0,81.6,0.45499999999999996,7.7,21.4,0.35960000000000003,15.5,20.7,0.7553,8.7,34.4,43.1,21.0,8.0,4.2,16.7,22.4,0.5371,0.5019,0.26080000000000003,0.2603,20.47,71.28,47.45,56.8,8.3,6.75,15.52,100.0,100.77000000000001,100.07000000000001,97.2,38.3,84.2,0.4561,9.2,27.2,0.3379,17.0,24.5,0.6886,11.2,36.3,47.5,24.0,6.1,4.3,14.7,20.0,0.5424,0.5106999999999999,0.3227,0.2972,25.830000000000002,78.53999999999999,52.98,62.17999999999999,6.37,6.529999999999999,13.34,100.0,107.47999999999999,99.8,0.8,102.8,1500.0,1500.0
240.0,115.0,GSW,110.0,TOR,2016,2015-11-17,True,201511170GSW,1,42.5,88.3,0.48240000000000005,12.5,30.3,0.42069999999999996,16.9,22.3,0.7744,9.8,35.3,45.1,29.5,9.8,6.3,14.7,21.4,0.5837999999999999,0.5534,0.3432,0.25739999999999996,22.410000000000004,74.08000000000001,49.660000000000004,69.27,9.77,9.110000000000001,12.979999999999999,100.0,113.53,97.37,1.0,114.4,37.0,88.5,0.4173,5.2,19.4,0.26839999999999997,18.9,24.2,0.7729,12.0,33.0,45.0,20.8,8.2,4.5,16.6,20.3,0.4951,0.44639999999999996,0.21939999999999998,0.28169999999999995,25.919999999999998,77.59,50.35,57.760000000000005,8.15,7.710000000000001,14.4,100.0,97.37,113.53,98.1,35.7,82.7,0.4309,7.3,21.1,0.33149999999999996,22.9,28.2,0.8009000000000001,12.2,34.0,46.2,18.9,9.3,4.4,14.7,20.7,0.5333,0.47450000000000003,0.2547,0.3431,28.410000000000004,77.22,53.17999999999999,52.870000000000005,9.8,7.409999999999999,13.41,100.0,107.33,102.39,0.6,101.6,1500.0,1492.267271820273
240.0,98.0,NOP,115.0,DEN,2016,2015-11-17,False,201511170NOP,0,37.5,86.2,0.43499999999999994,9.7,27.3,0.35140000000000005,15.5,20.2,0.7666000000000001,8.3,31.9,40.2,21.3,7.8,4.5,14.8,22.0,0.5269,0.491,0.3167,0.23570000000000002,18.09,78.32000000000001,46.63,56.879999999999995,7.92,7.209999999999999,13.540000000000001,100.0,101.33,110.75999999999999,0.1,100.2,40.7,85.8,0.4755,9.1,24.0,0.3721,18.9,22.8,0.8392,9.1,36.9,46.0,23.4,7.5,4.6,13.7,20.2,0.5715,0.5292,0.27999999999999997,0.2703,21.69,81.91,53.370000000000005,57.4,7.63,7.92,12.440000000000001,100.0,110.75999999999999,101.33,109.4,36.4,85.0,0.4327,7.7,24.0,0.3282,17.8,24.0,0.7508,11.5,32.9,44.4,21.5,7.9,5.8,15.8,20.2,0.5175,0.4787,0.2817,0.2919,25.46,75.17999999999999,49.93,58.470000000000006,8.059999999999999,10.129999999999999,14.209999999999999,100.0,100.91,105.66,0.5,98.3,1500.0,1500.0
240.0,102.0,NYK,94.0,CHO,2016,2015-11-17,True,201511170NYK,1,36.1,86.5,0.4168,6.8,22.5,0.3045,17.2,21.1,0.8096,11.9,33.6,45.5,19.3,6.8,4.9,14.1,22.9,0.5017,0.4561,0.2615,0.24559999999999998,26.35,77.81,51.54,53.8,7.1,8.08,12.73,100.0,100.84,103.59,0.4,96.2,36.0,82.7,0.4366,6.3,21.6,0.2887,20.4,27.7,0.7349,9.7,33.2,42.9,19.9,7.3,4.1,13.1,18.5,0.5211,0.4746,0.26139999999999997,0.3346,22.19,73.66,48.459999999999994,55.08,7.63,6.24,12.13,100.0,103.59,100.84,98.7,37.6,85.1,0.4427,9.8,27.3,0.35760000000000003,16.4,21.4,0.7857000000000001,8.6,33.8,42.4,21.5,7.3,5.3,11.7,17.0,0.5365,0.4995,0.32,0.257,18.77,80.26,48.05,57.58,7.63,8.690000000000001,10.97,100.0,106.02000000000001,103.82000000000001,0.5,101.4,1500.0,1500.0
240.0,85.0,PHI,112.0,IND,2016,2015-11-18,False,201511180PHI,0,34.0,81.9,0.41459999999999997,7.5,23.8,0.3173,14.7,21.5,0.6935,9.8,32.4,42.2,20.1,6.5,6.3,17.4,20.5,0.49590000000000006,0.4608,0.2908,0.2706,21.14,74.24,47.040000000000006,59.74000000000001,6.69,9.46,16.04,100.0,93.8,106.72999999999999,0.0,90.2,38.3,86.9,0.44110000000000005,7.4,20.5,0.37,18.6,22.8,0.8021,11.3,36.5,47.8,23.3,8.4,6.8,13.2,19.1,0.5300999999999999,0.4835999999999999,0.2363,0.2647,25.759999999999998,78.86,52.96999999999999,60.779999999999994,8.75,11.56,12.0,100.0,106.72999999999999,93.8,102.6,36.1,82.6,0.43760000000000004,7.8,21.4,0.35750000000000004,16.1,22.9,0.7154,11.0,32.0,43.0,20.2,8.3,4.6,15.4,18.9,0.5193000000000001,0.485,0.26020000000000004,0.27949999999999997,24.549999999999997,74.32000000000001,49.21,55.580000000000005,8.73,7.540000000000001,14.27,100.0,101.61999999999999,100.64000000000001,0.6,96.1,1492.267271820273,1500.0
240.0,97.0,PHO,103.0,CHI,2016,2015-11-18,False,201511180PHO,0,39.2,88.1,0.4469,9.7,25.7,0.37879999999999997,17.7,24.5,0.7173,11.5,36.9,48.4,19.4,9.1,3.5,17.2,20.4,0.5373,0.5022,0.2902,0.2817,25.169999999999998,80.81,52.95,49.260000000000005,9.07,6.07,14.809999999999999,100.0,105.0,99.34,0.6,105.8,38.1,84.8,0.45099999999999996,8.2,24.8,0.3415,15.8,23.5,0.6951,8.8,34.1,42.9,18.9,8.4,4.4,15.3,22.4,0.5277000000000001,0.5001,0.2929,0.2825,19.19,74.83,47.05,49.39,8.28,7.0200000000000005,13.84,100.0,99.34,105.0,100.2,37.6,87.5,0.4309,8.7,23.3,0.3686,17.0,22.9,0.7247,8.9,38.7,47.6,22.1,6.4,6.7,13.9,20.3,0.519,0.4809,0.2662,0.2633,19.2,75.03999999999999,48.64,59.06,6.35,9.540000000000001,12.39,100.0,101.1,99.16,0.7,100.9,1500.0,1500.0
